starttime	seconds	ctime	dtime	ttime	wait
Fri May 01 15:50:21 2015	1430491821	14	16	29	15
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:35 2015	1430491835	14	16	30	16
Fri May 01 15:50:35 2015	1430491835	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:07 2015	1430491807	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	14	16	30	16
Fri May 01 15:50:35 2015	1430491835	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	14	16	30	16
Fri May 01 15:50:10 2015	1430491810	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:37 2015	1430491837	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:50 2015	1430491850	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:08 2015	1430491808	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:08 2015	1430491808	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:26 2015	1430491826	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:49 2015	1430491849	14	16	30	16
Fri May 01 15:50:39 2015	1430491839	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	14	16	30	16
Fri May 01 15:50:50 2015	1430491850	14	16	30	16
Fri May 01 15:50:31 2015	1430491831	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:28 2015	1430491828	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:08 2015	1430491808	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	15	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:49 2015	1430491849	14	16	30	16
Fri May 01 15:50:48 2015	1430491848	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:07 2015	1430491807	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	14	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:07 2015	1430491807	15	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:07 2015	1430491807	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:08 2015	1430491808	14	16	30	16
Fri May 01 15:50:17 2015	1430491817	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:17 2015	1430491817	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:25 2015	1430491825	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:23 2015	1430491823	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:45 2015	1430491845	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:35 2015	1430491835	15	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:31 2015	1430491831	14	16	30	16
Fri May 01 15:50:31 2015	1430491831	14	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:15 2015	1430491815	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:49 2015	1430491849	15	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:31 2015	1430491831	14	16	30	16
Fri May 01 15:50:44 2015	1430491844	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:44 2015	1430491844	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:49 2015	1430491849	15	16	30	16
Fri May 01 15:50:50 2015	1430491850	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:12 2015	1430491812	14	16	30	16
Fri May 01 15:50:12 2015	1430491812	14	16	30	16
Fri May 01 15:50:31 2015	1430491831	14	16	30	16
Fri May 01 15:50:08 2015	1430491808	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:29 2015	1430491829	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	15	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	15	16	30	16
Fri May 01 15:50:12 2015	1430491812	14	16	30	16
Fri May 01 15:50:08 2015	1430491808	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	15	16	30	16
Fri May 01 15:50:30 2015	1430491830	15	16	30	16
Fri May 01 15:50:49 2015	1430491849	14	16	30	16
Fri May 01 15:50:47 2015	1430491847	15	16	30	16
Fri May 01 15:50:08 2015	1430491808	15	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	14	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:10 2015	1430491810	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:25 2015	1430491825	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	15	16	30	16
Fri May 01 15:50:31 2015	1430491831	15	16	30	16
Fri May 01 15:50:06 2015	1430491806	15	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:12 2015	1430491812	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	15	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:22 2015	1430491822	15	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:19 2015	1430491819	14	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	15	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:26 2015	1430491826	14	16	30	16
Fri May 01 15:50:31 2015	1430491831	14	16	30	16
Fri May 01 15:50:47 2015	1430491847	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	15	16	30	16
Fri May 01 15:50:31 2015	1430491831	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:24 2015	1430491824	15	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:10 2015	1430491810	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	15	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:10 2015	1430491810	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	15	16	30	16
Fri May 01 15:50:22 2015	1430491822	14	16	30	16
Fri May 01 15:50:24 2015	1430491824	14	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:11 2015	1430491811	15	16	30	16
Fri May 01 15:50:13 2015	1430491813	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	15	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:26 2015	1430491826	14	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	15	16	30	16
Fri May 01 15:50:09 2015	1430491809	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	15	16	30	16
Fri May 01 15:50:11 2015	1430491811	15	16	30	16
Fri May 01 15:50:17 2015	1430491817	14	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	15	16	30	16
Fri May 01 15:50:23 2015	1430491823	14	16	30	16
Fri May 01 15:50:05 2015	1430491805	15	16	30	16
Fri May 01 15:50:17 2015	1430491817	14	16	30	16
Fri May 01 15:50:26 2015	1430491826	15	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:18 2015	1430491818	14	16	30	16
Fri May 01 15:50:28 2015	1430491828	14	16	30	16
Fri May 01 15:50:10 2015	1430491810	15	16	30	16
Fri May 01 15:50:11 2015	1430491811	14	16	30	16
Fri May 01 15:50:27 2015	1430491827	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	15	16	30	16
Fri May 01 15:50:18 2015	1430491818	15	16	30	16
Fri May 01 15:50:24 2015	1430491824	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	14	16	30	16
Fri May 01 15:50:30 2015	1430491830	15	16	30	16
Fri May 01 15:50:20 2015	1430491820	14	16	30	16
Fri May 01 15:50:06 2015	1430491806	14	16	30	16
Fri May 01 15:50:21 2015	1430491821	15	16	30	16
Fri May 01 15:50:16 2015	1430491816	14	16	30	16
Fri May 01 15:50:17 2015	1430491817	14	16	30	16
Fri May 01 15:50:07 2015	1430491807	15	16	30	16
Fri May 01 15:50:07 2015	1430491807	15	16	30	16
Fri May 01 15:50:14 2015	1430491814	14	16	30	16
